strain	Albendazole_q90.TOF	Ivermectin_mean.TOF	Levamisole_mean.TOF
JU3132	NA	-41.276320436765594	7.893964446991862
JU3134	-48.6903234939128	-2.4066287326464053	-11.230827668739497
JU3135	150.00367662244415	43.093837601204086	14.673191631717797
JU3137	-44.27082205334496	-11.958992076275011	-24.620717085701276
JU3140	6.206139936621079	-5.386105608395422	-14.176789179819824
JU3144	12.747189183391557	-13.78633277323773	-5.337660776123886
JU323	NA	NA	NA
JU346	108.80481886681714	NA	NA
JU360	NA	NA	NA
JU367	-69.99290151629769	-16.228134224801522	-15.832646527427416
JU393	36.492815803910915	NA	-28.421380496347147
JU394	-4.855715032814861	NA	-5.7141757893561085
JU397	-37.82801128630111	-31.738399804039155	27.547472272279737
JU406	-26.95785223684195	6.053626576259379	9.52185730408194
JU440	-24.685508889980756	NA	NA
JU561	-18.98663570966523	-15.645832913612834	26.512710525693358
JU642	-29.617234857910088	20.62413646672177	9.56825733141258
JU751	78.27233218074367	11.46790149692883	13.361459187977113
JU774	1.4389149768539766	NA	NA
JU775	-1.0060273315480632	-33.1216515477357	12.214678500733902
JU778	5.791389211649465	-12.05423781484445	-10.357314479610633
JU782	-60.67989185180811	29.889286932797447	10.721919750616403
JU792	7.663680888749685	-28.217857019879833	-10.210403454658113
JU830	125.56735167578071	NA	NA
JU847	NA	NA	NA
KR314	143.6234241083999	NA	NA
LKC34	11.974196541490636	NA	-61.6300807320413
MY1	-23.737506126288885	NA	NA
MY10	-33.28326996430419	NA	NA
MY16	158.94278357229774	-14.029036669489251	-11.608914524486362
MY18	155.54945268233425	-7.452451043423517	NA
MY2147	-0.8650632948146789	-2.496984695505555	-2.8607832168241254
MY2212	-14.40936144613937	42.040619254975645	15.118309696439157
MY23	116.65476084329583	NA	9.009118788792197
MY2453	175.47021089179592	22.19843846235419	-10.028628200410848
MY2530	-26.24967107278876	29.59247769719845	9.350189755947818
MY2535	-41.789061948316764	19.213619793353775	29.207230045858935
MY2573	-21.149868773906622	-23.543723329266967	3.287292989800409
MY2585	7.039178317788272	42.200004262426624	NA
MY2693	3.234522820391257	6.671880571792923	-0.5466072664351218
MY2713	10.80362608618886	9.264413740398936	-5.860757879461761
MY2741	8.392152158009386	-11.187526303230738	-4.863370579683196
MY518	175.26078782446604	-37.97655317040228	-26.363704683387773
MY679	175.72761182477822	-7.7721218940443375	21.314482815855573
MY772	-5.443312185452421	-10.22856752239527	-7.11641687844438
MY795	124.68278747053708	-14.353391156418814	-9.595642170544723
MY920	-22.93287169764021	45.248080171558755	11.734419015787319
N2	-82.4100686033003	1.964388251635551	-7.089759894676784
NIC1	-7.451453564791896	NA	NA
NIC1049	NA	-40.98010990225554	6.096243486015912
NIC1107	NA	NA	7.847866456185774
NIC166	NA	-5.680613213314267	NA
NIC195	NA	17.174070721245464	NA
NIC199	-17.217080193431055	NA	NA
NIC2	-31.693092984756365	NA	NA
NIC207	-24.357280442918732	7.830193876093122	NA
NIC231	-26.69695225433682	18.770455643283604	6.756250278079992
NIC236	-10.765350425183104	NA	NA
NIC242	-13.24637739474967	NA	-4.892689180306231
NIC251	19.797320217695493	NA	-0.5510515220357232
NIC252	-35.20785006709915	NA	NA
NIC255	1.2141283702032994	NA	NA
NIC256	-12.98475803341109	NA	NA
NIC258	-12.93345771019609	-48.907688081447006	-16.390985901527948
NIC259	-23.051474236947954	NA	-20.132248987526513
NIC260	NA	NA	NA
NIC261	2.9361617397834667	NA	NA
NIC262	-32.831911845729486	-41.77498999719937	5.545074310457614
NIC265	41.99724680661585	-31.044202036805277	NA
NIC266	0.4716694420606166	NA	17.135463314137596
NIC267	-34.28443963837219	-4.448294293770748	8.60278692138916
NIC268	-12.209731550256091	-33.196673513531906	-10.459745947269653
NIC269	-48.215165733865774	NA	-17.77498421527536
NIC271	NA	-17.886710966735226	NA
NIC272	16.139745697908513	-15.454337287888043	NA
NIC274	3.297809493421164	NA	NA
NIC275	-47.557959058947205	NA	NA
NIC276	-19.287963937880612	NA	6.3354649757011
NIC277	-12.478886304523042	NA	NA
NIC3	NA	NA	NA
